id,name,host_id,host_name,host_since,room_type,price,neighbourhood,bedrooms,number_of_reviews,first_review,last_review,host_is_superhost,minimum_nights,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_identity_verified,accommodates,beds,airbnb_age
840394948709379884,Luxury peaceful stay near harbour and city.,13950108,Mark,2014-04-06,Private room,130,North Sydney,1.0,19,2023-06-03,2024-02-24,t,2,1.97,4.89,4.79,4.79,4.79,4.95,4.95,4.79,t,2,1.0,266
930938740480678279,Convenient 2BR in Marrickville,80226860,Jimmy,2016-06-27,Entire home/apt,319,Marrickville,2.0,13,2023-07-23,2024-01-07,f,2,1.63,4.38,4.23,4.62,4.46,4.85,4.08,4.15,t,4,2.0,168
45836046,Guest House in bush setting with use of pool,165339335,Bruce,2018-01-02,Entire home/apt,290,Willoughby,2.0,26,2021-01-24,2024-02-14,f,4,0.68,5.0,5.0,5.0,5.0,5.0,4.88,4.92,t,4,3.0,1116
926414677362892259,Sailors Rest,523180891,Betty,2023-07-02,Entire home/apt,395,North Sydney,0.0,13,2023-08-14,2024-02-25,t,2,1.79,5.0,4.92,4.85,4.92,5.0,5.0,4.69,t,2,1.0,195
8447412,Between the Beaches,24719748,Peter,2014-12-11,Entire home/apt,625,Warringah,3.0,4,2018-01-02,2024-01-01,f,7,0.05,4.75,5.0,4.75,5.0,5.0,5.0,4.75,t,6,3.0,2190
978736727974909754,Lilyfield Lilypad,10441624,Angela,2013-12-05,Entire home/apt,241,Leichhardt,1.0,1,2023-11-22,2023-11-22,t,3,0.25,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,4,2.0,0
20399942,"2 Bedroom apartment, Willoughby, Sydney",43670757,Mike,2015-09-08,Entire home/apt,179,Willoughby,2.0,157,2017-11-05,2024-03-01,f,10,2.02,4.96,4.96,4.96,4.87,4.97,4.87,4.92,t,4,0.0,2308
42896022,Water view room,5144857,Luci,2013-02-19,Entire home/apt,170,Canada Bay,2.0,122,2020-06-11,2024-02-25,t,2,2.66,4.89,4.9,4.89,4.89,4.92,4.91,4.85,t,4,2.0,1354
1037498607364337603,Renovated 3bed 2bath Townhouse w Private Garden,25527203,Ben,2015-01-03,Entire home/apt,277,Ryde,3.0,4,2024-01-19,2024-03-02,f,2,2.0,4.75,5.0,5.0,4.75,4.5,5.0,4.75,t,6,3.0,43
859807445250880681,Envi Suite 03,506646022,Myrtle,2023-03-22,Entire home/apt,149,North Sydney,0.0,17,2023-06-15,2024-03-02,t,3,1.83,4.82,4.88,4.94,5.0,4.88,4.82,4.71,t,2,1.0,261
23483155,Peaceful Parramatta Private Room with Balcony,175311414,Matt,2018-02-25,Private room,101,Parramatta,1.0,55,2018-03-19,2024-03-05,t,2,0.75,4.93,4.93,4.85,4.93,4.98,4.8,4.84,t,2,1.0,2178
937900311021462483,Cozy nest in Crows Nest,54724310,Jim,2016-01-15,Entire home/apt,213,North Sydney,0.0,4,2023-11-04,2024-01-30,t,7,0.88,5.0,5.0,5.0,5.0,5.0,5.0,4.75,t,2,1.0,87
1019989249534168347,Leafy Lane Cove apartment,49914064,Rebecca,2015-11-26,Entire home/apt,200,Lane Cove,1.0,4,2024-01-01,2024-02-01,f,4,1.54,4.75,4.75,5.0,4.75,5.0,4.5,4.75,t,2,1.0,31
1078831283150206983,MetaWise Burwood Westfield Cozy 2Bed Free Parking,234236412,Leo,2019-01-04,Entire home/apt,143,Burwood,2.0,3,2024-02-15,2024-03-09,f,1,2.73,5.0,5.0,5.0,4.67,5.0,5.0,5.0,t,5,3.0,23
859827381142133315,Clean Modern House suits 4-6 people,507422254,Qian,2023-03-28,Entire home/apt,369,Camden,4.0,6,2023-04-15,2023-09-02,f,1,0.53,4.5,4.67,4.5,5.0,5.0,4.5,4.67,t,8,4.0,140
19415414,Cute cottage close to restaurants and transport,3849374,Bron & Roger,2012-10-12,Entire home/apt,142,Willoughby,1.0,307,2017-07-06,2024-03-01,t,2,3.76,4.88,4.92,4.81,4.95,4.97,4.92,4.89,t,3,2.0,2430
53771961,MAGICAL VIEWS OF DEE WHY,1106924,Gladys,2011-09-03,Entire home/apt,671,Warringah,5.0,36,2022-01-09,2024-02-22,f,90,1.35,4.69,4.53,4.56,4.83,4.53,4.92,4.53,t,9,6.0,774
1056272057791321206,Bay Views Prime Location Retreat,35193562,Tracy,2015-06-07,Entire home/apt,184,North Sydney,1.0,2,2024-02-11,2024-03-12,f,21,1.62,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,2,1.0,30
887241443419855244,Spacious & Convenient,506646022,Myrtle,2023-03-22,Entire home/apt,175,North Sydney,1.0,9,2023-09-20,2024-03-16,t,7,1.49,5.0,5.0,5.0,5.0,5.0,4.89,4.89,t,2,1.0,178
964072589994274879,Studio Pool House,518462207,Chris,2023-06-05,Entire home/apt,264,North Sydney,0.0,31,2023-09-14,2024-03-11,t,1,4.97,4.97,4.87,4.97,4.9,5.0,4.81,4.81,f,3,3.0,179
